"id";"ilan_no";"brand";"model";"year";"loc1";"loc2";"loc3";"loc4";"loc5";"km";"date";"listing_price";"otoendeks_price";"arabam_price";"fuel_Type";"transmission";"body_type";"power";"displacement";"drivewheel";"hard_hit";"owner";"painted_parts";"changed_parts"
"2484";"1086641363";"Seat";"Leon 1.5 eTSI FR";"2021";"Türkiye";"İzmir";"Güzelbahçe";"Güzelbahçe";"0";"44000";"1679356800";"1180000";"0";NULL;"Hybrid";"Yarı Otomatik";"Hatchback 5 kapı";"150 hp";"1498 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2485";"1086964572";"Hyundai";"Elantra 1.6 GLS";"2000";"Türkiye";"Bilecik";"Merkez";"Bilecik";"0";"240500";"1679356800";"215000";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"116 hp";"1599 cc";"Önden Çekiş";"Hayır";"Sahibinden";"010203070910130811120405";"06"
"2486";"1086938086";"Renault";"Megane 1.5 dCi Expression";"2011";"Türkiye";"İstanbul";"Bağcılar";"Bağcılar";"0";"356000";"1679356800";"305000";"0";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"85 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"07130612";"11"
"2487";"1069244586";"Fiat";"Palio 1.4 Fire Active Sole";"2011";"Türkiye";"Eskişehir";"Mihalgazi";"Mihalgazi";"0";"98000";"1679356800";"275000";"0";NULL;"Benzin & LPG";"Manuel";"Hatchback 5 kapı";"77 hp";"1368 cc";"Önden Çekiş";"Hayır";"Sahibinden";"05";
"2488";"1075044455";"BMW";"5 Serisi 520d Standart";"2007";"Türkiye";"Ankara";"Çankaya";"Yıldız";"0";"291000";"1679356800";"620000";"0";NULL;"Dizel";"Otomatik";"Sedan";"163 hp";"1995 cc";"Arkadan İtiş";"Hayır";"Sahibinden";;
"2489";"1084162781";"Volkswagen";"Polo 1.2 TSI Comfortline";"2017";"Türkiye";"Ankara";"Keçiören";"Etlik / İncirli";"0";"65000";"1679356800";"600000";"548550";NULL;"Benzin";"Yarı Otomatik";"Hatchback 5 kapı";"90 hp";"1197 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2490";"1086959462";"Hyundai";"Accent Era 1.5 CRDi Start";"2011";"Türkiye";"Çorum";"İskilip";"İskilip";"0";"183000";"1679356800";"313000";"238550";NULL;"Dizel";"Manuel";"Sedan";"110 hp";"1493 cc";"Önden Çekiş";"Hayır";"Sahibinden";;"06"
"2491";"1086969760";"Renault";"Clio 1.5 dCi Joy";"2017";"Türkiye";"İzmir";"Buca";"Şirinyer";"0";"115957";"1679356800";"430000";"405543";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"75 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";;"01"
"2492";"1086971969";"Hyundai";"i20 1.4 CRDi Team";"2011";"Türkiye";"Muğla";"Fethiye";"Karaçulha";"0";"216000";"1679356800";"315000";"265050";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"75 hp";"1396 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2493";"1086969723";"Mercedes - Benz";"C Serisi C 200 D AMG";"2021";"Türkiye";"İstanbul";"Sarıyer";"Sarıyer";"0";"38000";"1679356800";"1890000";"0";NULL;"Dizel";"Otomatik";"Sedan";"160 hp";"1598 cc";"Arkadan İtiş";"Hayır";"Sahibinden";;
"2494";"1086968286";"Opel";"Corsa 1.3 CDTI  Essentia";"2006";"Türkiye";"Antalya";"Kepez";"Ahatlı";"0";"256160";"1679356800";"275000";"252250";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"70 hp";"1248 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2495";"1086957278";"Fiat";"Egea 1.4 Fire Easy";"2023";"Türkiye";"Bursa";"Nilüfer";"İhsaniye";"0";"1001";"1679356800";"515000";"0";NULL;"Benzin";"Manuel";"Sedan";"95 hp";"1368 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2496";"1086967670";"Fiat";"Egea 1.4 Fire Urban";"2018";"Türkiye";"Mersin";"Tarsus";"Akşemsettin";"0";"62000";"1679356800";"470000";"449100";NULL;"Benzin & LPG";"Manuel";"Sedan";"95 hp";"1368 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2497";"1086967870";"Opel";"Vectra 2.0 CD";"1999";"Türkiye";"Isparta";"Merkez";"Anadolu";"0";"224000";"1679356800";"260000";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"136 hp";"1998 cc";"Önden Çekiş";"Hayır";"Sahibinden";;"04"
"2498";"1086965901";"Renault";"Megane 1.5 dCi Dynamique";"2009";"Türkiye";"Konya";"Selçuklu";"Nalçacı";"0";"65000";"1679356800";"438000";"0";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"105 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0106";"02"
